CustomerID,Gender,Age, Annual Income ,Spending Score ,Profession,City,Membership Type,Tenure (Years)
61,Male,39,"32,37,000",62,Doctor,Mumbai,Silver,4
62,Male,66,"54,78,000",57,Artist,Bangalore,Gold,10
63,Male,69,"57,27,000",16,Student,Chennai,Silver,6
64,Male,59,"48,97,000",56,Manager,Chennai,Gold,10
65,Male,23,"19,09,000",10,Teacher,Mumbai,Gold,3
66,Female,32,"26,56,000",30,Student,Kolkata,Gold,2
67,Female,60,"49,80,000",25,Doctor,Hyderabad,Gold,6
68,Male,54,"44,82,000",84,Lawyer,Mumbai,Gold,5
69,Female,50,"41,50,000",5,Student,Chennai,Gold,10
70,Female,25,"20,75,000",65,Entrepreneur,Delhi,Silver,5
71,Female,61,"50,63,000",94,Engineer,Bangalore,Gold,10
72,Female,61,"50,63,000",49,Teacher,Mumbai,Silver,5
73,Male,22,"18,26,000",3,Doctor,Kolkata,Silver,10
74,Female,56,"46,48,000",45,Lawyer,Chennai,Silver,5
75,Male,21,"17,43,000",14,Manager,Hyderabad,Silver,3
76,Female,23,"19,09,000",30,Lawyer,Chennai,Gold,7
77,Female,62,"51,46,000",68,Artist,Hyderabad,Gold,6
78,Female,49,"40,67,000",18,Entrepreneur,Mumbai,Gold,4
79,Male,69,"57,27,000",62,Doctor,Hyderabad,Gold,2
80,Female,47,"39,01,000",37,Manager,Pune,Silver,9
81,Male,64,"53,12,000",25,Artist,Pune,Silver,1
82,Female,52,"43,16,000",48,Artist,Pune,Silver,4
83,Male,57,"47,31,000",65,Doctor,Kolkata,Silver,1
84,Female,69,"57,27,000",53,Entrepreneur,Kolkata,Silver,6
85,Male,33,"27,39,000",79,Student,Delhi,Silver,4
86,Male,30,"24,90,000",73,Student,Kolkata,Gold,5
87,Female,67,"55,61,000",15,Artist,Mumbai,Gold,5
88,Male,59,"48,97,000",49,Student,Chennai,Platinum,9
89,Female,47,"39,01,000",88,Engineer,Chennai,Platinum,1
90,Female,36,"29,88,000",68,Artist,Delhi,Gold,2
91,Female,34,"28,22,000",12,Artist,Kolkata,Silver,6
92,Female,36,"29,88,000",59,Manager,Hyderabad,Gold,5
93,Female,45,"37,35,000",37,Student,Delhi,Gold,7
94,Female,43,"35,69,000",61,Entrepreneur,Hyderabad,Silver,3
95,Female,54,"44,82,000",43,Artist,Hyderabad,Silver,3
96,Female,43,"35,69,000",70,Lawyer,Bangalore,Gold,10
97,Female,40,"33,20,000",39,Entrepreneur,Chennai,Silver,2
98,Female,26,"21,58,000",56,Engineer,Pune,Gold,3
99,Female,29,"24,07,000",63,Manager,Kolkata,Gold,10
100,Male,18,"14,94,000",46,Doctor,Hyderabad,Silver,1
101,Male,18,"14,94,000",88,Entrepreneur,Bangalore,Silver,5
102,Female,64,"53,12,000",11,Artist,Chennai,Silver,5
103,Female,51,"42,33,000",62,Engineer,Pune,Silver,7
104,Female,49,"40,67,000",77,Teacher,Hyderabad,Silver,4
105,Female,65,"53,95,000",98,Engineer,Hyderabad,Gold,3
106,Female,42,"34,86,000",25,Engineer,Delhi,Silver,1
107,Female,57,"47,31,000",71,Manager,Delhi,Gold,8
108,Female,62,"51,46,000",52,Doctor,Chennai,Silver,3
109,Female,18,"14,94,000",4,Teacher,Pune,Platinum,2
110,Male,33,"27,39,000",59,Student,Hyderabad,Silver,4
111,Female,56,"46,48,000",72,Student,Chennai,Silver,3
112,Male,22,"18,26,000",,Entrepreneur,Chennai,Platinum,1
113,Female,39,"32,37,000",93,Engineer,Mumbai,Gold,3
114,Female,46,"38,18,000",63,Lawyer,Kolkata,Silver,2
115,Male,20,"16,60,000",54,Manager,Delhi,Gold,8
116,Female,29,"24,07,000",74,Lawyer,Pune,Silver,6
117,Male,43,"35,69,000",98,Manager,Hyderabad,Silver,9
118,Female,33,"27,39,000",57,Student,Chennai,Silver,8
119,Female,68,"56,44,000",90,Entrepreneur,Hyderabad,Silver,10
120,Male,54,"44,82,000",41,Entrepreneur,Mumbai,Gold,3
121,Female,39,"32,37,000",3,Entrepreneur,Pune,Silver,5
122,Male,46,"38,18,000",6,Teacher,Chennai,Silver,7
123,Female,31,"25,73,000",5,Doctor,Hyderabad,Gold,5
124,Male,45,"37,35,000",5,Teacher,Delhi,Gold,8
125,Male,22,"18,26,000",54,Artist,Kolkata,Silver,5
126,Female,64,"53,12,000",47,Artist,Mumbai,Gold,1
127,Female,66,"54,78,000",87,Lawyer,Pune,Silver,5
128,Male,47,"39,01,000",49,Doctor,Mumbai,Gold,4
129,Female,63,"52,29,000",9,Student,Delhi,Gold,6
130,Female,69,"57,27,000",99,Doctor,Pune,Platinum,3
131,Female,22,"18,26,000",20,Manager,Mumbai,Silver,5
132,Male,29,"24,07,000",61,Artist,Bangalore,Silver,2
133,Male,33,"27,39,000",35,Engineer,Delhi,Silver,6
134,Male,43,"35,69,000",50,Engineer,Delhi,Silver,6
135,Male,43,"35,69,000",82,Student,Delhi,Silver,5
136,Male,65,"53,95,000",62,Manager,Bangalore,Platinum,6
137,Male,38,"31,54,000",17,Lawyer,Bangalore,Silver,7
138,Male,56,"46,48,000",88,Teacher,Hyderabad,Silver,5
139,Male,53,"43,99,000",3,Manager,Chennai,Gold,1
140,Male,50,"41,50,000",32,Engineer,Kolkata,Silver,8
141,Female,47,"39,01,000",99,Engineer,Mumbai,Gold,4
142,Male,54,"44,82,000",13,Lawyer,Hyderabad,Silver,9
143,Female,40,"33,20,000",89,Artist,Mumbai,Silver,10
144,Female,27,"22,41,000",73,Manager,Kolkata,Silver,6
145,Female,22,"18,26,000",68,Manager,Chennai,Silver,1
146,Male,53,"43,99,000",14,Engineer,Bangalore,Platinum,3
147,Male,51,"42,33,000",98,Teacher,Chennai,Silver,3
148,Male,69,"57,27,000",11,Student,Bangalore,Gold,10
149,Male,48,"39,84,000",56,Entrepreneur,Kolkata,Silver,4
150,Female,27,"22,41,000",67,Student,Chennai,Silver,6
151,Male,36,"29,88,000",92,Manager,Hyderabad,Platinum,7
152,Male,49,"40,67,000",29,Student,Pune,Silver,10
153,Male,18,"14,94,000",9,Engineer,Hyderabad,Gold,4
154,Male,22,"18,26,000",67,Engineer,Mumbai,Platinum,6
155,Male,62,"51,46,000",25,Lawyer,Hyderabad,Gold,1
156,Female,21,"17,43,000",98,Manager,Kolkata,Platinum,8
157,Male,33,"27,39,000",76,Lawyer,Delhi,Silver,7
158,Female,41,"34,03,000",42,Manager,Mumbai,Silver,9
159,Male,33,"27,39,000",9,Entrepreneur,Chennai,Silver,3
160,Female,19,"15,77,000",79,Entrepreneur,Mumbai,Gold,2
161,Male,66,"54,78,000",40,Artist,Pune,Platinum,1
162,Male,45,"37,35,000",25,Manager,Bangalore,Silver,3
163,Female,49,"40,67,000",5,Teacher,Chennai,Gold,5
164,Female,44,"36,52,000",11,Student,Mumbai,Silver,2
165,Female,37,"30,71,000",59,Manager,Chennai,Gold,3
166,Male,41,"34,03,000",98,Doctor,Chennai,Silver,4
167,Female,29,"24,07,000",88,Artist,Chennai,Platinum,7
168,Male,67,"55,61,000",79,Doctor,Bangalore,Gold,3
169,Male,52,"43,16,000",38,Engineer,Kolkata,Silver,9
170,Female,50,"41,50,000",72,Entrepreneur,Hyderabad,Silver,8
171,Female,50,"41,50,000",5,Student,Chennai,Silver,4
172,Male,68,"56,44,000",48,Manager,Delhi,Silver,1
173,Male,60,"49,80,000",90,Doctor,Kolkata,Silver,1
174,Female,54,"44,82,000",18,Student,Pune,Platinum,1
175,Female,29,"24,07,000",70,Engineer,Bangalore,Gold,1
176,Female,20,"16,60,000",37,Entrepreneur,Mumbai,Gold,8
177,Male,18,"14,94,000",60,Teacher,Bangalore,Silver,3
178,Male,50,"41,50,000",48,Artist,Mumbai,Platinum,6
179,Male,57,"47,31,000",77,Student,Bangalore,Gold,3
180,Male,27,"22,41,000",28,Student,Mumbai,Silver,5
181,Male,60,"49,80,000",69,Teacher,Chennai,Gold,7
182,Male,61,"50,63,000",77,Student,Hyderabad,Gold,2
183,Female,46,"38,18,000",81,Engineer,Mumbai,Silver,6
184,Male,30,"24,90,000",40,Engineer,Mumbai,Silver,6
185,Male,29,"24,07,000",45,Teacher,Delhi,Silver,3
186,Male,48,"39,84,000",96,Artist,Mumbai,Silver,6
187,Female,63,"52,29,000",62,Manager,Delhi,Platinum,10
188,Male,19,"15,77,000",93,Doctor,Pune,Gold,10
189,Male,68,"56,44,000",58,Manager,Chennai,Gold,5
190,Female,67,"55,61,000",67,Student,Delhi,Silver,2
191,Male,52,"43,16,000",56,Doctor,Hyderabad,Silver,9
192,Male,40,"33,20,000",40,Lawyer,Kolkata,Gold,8
193,Male,34,"28,22,000",98,Teacher,Chennai,Gold,3
194,Male,43,"35,69,000",40,Teacher,Delhi,Silver,8
195,Male,25,"20,75,000",91,Artist,Chennai,Gold,9
196,Female,46,"38,18,000",77,Doctor,Chennai,Gold,3
197,Female,43,"35,69,000",33,Engineer,Chennai,Silver,3
198,Female,27,"22,41,000",6,Doctor,Pune,Silver,2
199,Male,43,"35,69,000",88,Student,Hyderabad,Gold,8
200,Male,51,"42,33,000",19,Engineer,Bangalore,Silver,10
201,Male,68,"56,44,000",80,Entrepreneur,Bangalore,Silver,1
202,Female,58,"48,14,000",40,Entrepreneur,Delhi,Silver,8
203,Male,24,"19,92,000",92,Lawyer,Chennai,Silver,7
204,Male,21,"17,43,000",97,Entrepreneur,Delhi,Gold,7
205,Female,67,"55,61,000",59,Teacher,Pune,Gold,3
206,Male,62,"51,46,000",59,Doctor,Pune,Silver,1
207,Female,28,"23,24,000",48,Entrepreneur,Mumbai,Platinum,4
208,Female,46,"38,18,000",41,Manager,Pune,Platinum,9
209,Female,53,"43,99,000",13,Artist,Mumbai,Platinum,5
210,Male,42,"34,86,000",45,Manager,Hyderabad,Silver,1
211,Male,38,"31,54,000",89,Entrepreneur,Delhi,Silver,5
212,Male,53,"43,99,000",53,Lawyer,Kolkata,Platinum,8
213,Male,27,"22,41,000",42,Artist,Hyderabad,Gold,8
214,Male,54,"44,82,000",100,Student,Pune,Silver,5
215,Male,26,"21,58,000",63,Manager,Hyderabad,Silver,9
216,Male,41,"34,03,000",27,Lawyer,Hyderabad,Silver,1
217,Female,52,"43,16,000",38,Doctor,Hyderabad,Platinum,4
218,Male,66,"54,78,000",60,Doctor,Pune,Gold,3
219,Female,52,"43,16,000",7,Manager,Kolkata,Silver,2
220,Male,65,"53,95,000",5,Entrepreneur,Chennai,Silver,8
221,Male,53,"43,99,000",45,Lawyer,Hyderabad,Gold,7
222,Male,35,"29,05,000",58,Doctor,Mumbai,Gold,9
223,Female,66,"54,78,000",31,Student,Pune,Silver,2
224,Female,56,"46,48,000",23,Engineer,Hyderabad,Gold,4
225,Female,49,"40,67,000",42,Entrepreneur,Kolkata,Platinum,6
226,Female,41,"34,03,000",10,Lawyer,Chennai,Silver,3
227,Male,40,"33,20,000",32,Student,Pune,Gold,8
228,Female,49,"40,67,000",53,Lawyer,Bangalore,Silver,3
229,Male,54,"44,82,000",30,Artist,Chennai,Gold,2
230,Male,29,"24,07,000",39,Student,Mumbai,Gold,3
231,Female,66,"54,78,000",31,Entrepreneur,Hyderabad,Gold,6
232,Female,30,"24,90,000",82,Artist,Kolkata,Gold,2
233,Female,40,"33,20,000",100,Entrepreneur,Bangalore,Silver,8
234,Female,42,"34,86,000",2,Doctor,Kolkata,Platinum,1
235,Female,52,"43,16,000",78,Engineer,Bangalore,Gold,7
236,Female,58,"48,14,000",77,Entrepreneur,Pune,Silver,2
237,Female,47,"39,01,000",93,Entrepreneur,Bangalore,Gold,10
238,Female,34,"28,22,000",12,Doctor,Mumbai,Gold,6
239,Male,66,"54,78,000",39,Teacher,Mumbai,Silver,2
240,Female,37,"30,71,000",66,Doctor,Delhi,Platinum,2
241,Female,65,"53,95,000",96,Artist,Mumbai,Platinum,10
242,Male,42,"34,86,000",13,Doctor,Chennai,Silver,8
243,Female,39,"32,37,000",46,Doctor,Bangalore,Platinum,2
244,Male,30,"24,90,000",27,Engineer,Mumbai,Silver,7
245,Male,36,"29,88,000",17,Doctor,Pune,Silver,3
246,Female,66,"54,78,000",95,Lawyer,Kolkata,Silver,8
247,Male,53,"43,99,000",98,Entrepreneur,Kolkata,Platinum,7
248,Male,29,"24,07,000",60,Lawyer,Delhi,Gold,8
249,Male,58,"48,14,000",64,Engineer,Kolkata,Silver,7
250,Male,36,"29,88,000",88,Manager,Bangalore,Silver,6
251,Female,29,"24,07,000",35,Teacher,Delhi,Gold,7
252,Male,26,"21,58,000",70,Lawyer,Bangalore,Silver,5
253,Female,24,"19,92,000",83,Engineer,Pune,Platinum,7
254,Male,45,"37,35,000",30,Artist,Delhi,Gold,1
255,Male,31,"25,73,000",71,Manager,Hyderabad,Gold,1
256,Male,48,"39,84,000",74,Engineer,Chennai,Platinum,9
257,Male,69,"57,27,000",96,Engineer,Chennai,Silver,5
258,Female,36,"29,88,000",98,Teacher,Bangalore,Platinum,5
259,Female,64,"53,12,000",63,Entrepreneur,Kolkata,Gold,3
260,Male,33,"27,39,000",28,Lawyer,Hyderabad,Gold,5
261,Male,22,"18,26,000",60,Artist,Delhi,Silver,3
262,Female,52,"43,16,000",79,Student,Hyderabad,Platinum,9
263,Male,29,"24,07,000",94,Lawyer,Hyderabad,Silver,9
264,Male,42,"34,86,000",37,Student,Kolkata,Silver,6
265,Male,69,"57,27,000",93,Engineer,Delhi,Silver,1
266,Female,38,"31,54,000",22,Doctor,Pune,Gold,7
267,Female,53,"43,99,000",68,Artist,Kolkata,Gold,7
268,Female,40,"33,20,000",20,Manager,Hyderabad,Gold,10
269,Male,33,"27,39,000",96,Doctor,Hyderabad,Platinum,10
270,Male,56,"46,48,000",100,Doctor,Pune,Silver,4
271,Female,62,"51,46,000",68,Lawyer,Hyderabad,Gold,8
272,Female,59,"48,97,000",91,Artist,Hyderabad,Silver,6
273,Female,56,"46,48,000",64,Entrepreneur,Hyderabad,Platinum,4
274,Female,31,"25,73,000",17,Engineer,Chennai,Gold,4
275,Male,48,"39,84,000",12,Engineer,Kolkata,Gold,2
276,Female,22,"18,26,000",22,Engineer,Mumbai,Gold,2
277,Male,52,"43,16,000",17,Engineer,Kolkata,Silver,4
278,Female,40,"33,20,000",10,Lawyer,Pune,Silver,5
279,Male,46,"38,18,000",65,Student,Hyderabad,Gold,8
280,Female,60,"49,80,000",22,Engineer,Kolkata,Silver,6
281,Female,28,"23,24,000",90,Student,Chennai,Silver,4
282,Female,35,"29,05,000",82,Student,Pune,Silver,7
283,Female,64,"53,12,000",50,Entrepreneur,Bangalore,Gold,8
284,Male,29,"24,07,000",14,Engineer,Kolkata,Silver,2
285,Female,26,"21,58,000",64,Teacher,Bangalore,Silver,7
286,Male,27,"22,41,000",47,Manager,Hyderabad,Gold,2
287,Male,61,"50,63,000",29,Doctor,Chennai,Gold,2
288,Male,34,"28,22,000",76,Student,Chennai,Silver,8
289,Male,55,"45,65,000",36,Artist,Kolkata,Silver,2
290,Female,24,"19,92,000",99,Artist,Pune,Silver,9
291,Male,63,"52,29,000",52,Manager,Pune,Silver,1
292,Male,30,"24,90,000",76,Artist,Chennai,Silver,9
293,Male,57,"47,31,000",7,Teacher,Pune,Gold,1
294,Female,59,"48,97,000",29,Artist,Chennai,Gold,10
295,Female,26,"21,58,000",11,Doctor,Kolkata,Gold,10
296,Female,67,"55,61,000",33,Doctor,Mumbai,Silver,2
297,Female,44,"36,52,000",6,Student,Chennai,Gold,6
298,Male,19,"15,77,000",79,Engineer,Bangalore,Silver,6
299,Male,22,"18,26,000",32,Entrepreneur,Pune,Platinum,1
300,Female,46,"38,18,000",51,Teacher,Chennai,Gold,7
301,Male,54,"44,82,000",75,Student,Chennai,Silver,8
302,Male,55,"45,65,000",58,Teacher,Kolkata,Gold,2
303,Male,36,"29,88,000",87,Engineer,Pune,Silver,8
304,Female,25,"20,75,000",26,Lawyer,Mumbai,Gold,9
305,Female,65,"53,95,000",98,Artist,Kolkata,Silver,6
306,Male,62,"51,46,000",46,Artist,Mumbai,Silver,5
307,Female,18,"14,94,000",98,Entrepreneur,Kolkata,Platinum,9
308,Female,39,"32,37,000",29,Engineer,Pune,Silver,9
309,Female,69,"57,27,000",4,Student,Delhi,Gold,1
310,Female,34,"28,22,000",81,Entrepreneur,Pune,Silver,3
311,Female,24,"19,92,000",99,Engineer,Pune,Gold,9
312,Male,42,"34,86,000",13,Manager,Mumbai,Gold,2
313,Female,62,"51,46,000",39,Doctor,Mumbai,Gold,4
314,Male,21,"17,43,000",15,Entrepreneur,Pune,Silver,4
315,Male,53,"43,99,000",29,Entrepreneur,Pune,Silver,2
316,Female,23,"19,09,000",29,Student,Pune,Silver,3
317,Male,48,"39,84,000",75,Teacher,Mumbai,Silver,3
318,Male,36,"29,88,000",32,Manager,Pune,Gold,1
319,Male,61,"50,63,000",2,Student,Pune,Platinum,6
320,Female,56,"46,48,000",47,Engineer,Hyderabad,Platinum,8
321,Female,44,"36,52,000",78,Engineer,Delhi,Gold,3
322,Male,27,"22,41,000",84,Engineer,Bangalore,Gold,5
323,Female,43,"35,69,000",22,Lawyer,Delhi,Gold,1
324,Female,36,"29,88,000",75,Engineer,Hyderabad,Silver,10
325,Female,56,"46,48,000",27,Teacher,Bangalore,Platinum,7
326,Female,20,"16,60,000",67,Manager,Kolkata,Gold,10
327,Male,62,"51,46,000",81,Artist,Pune,Gold,1
328,Male,30,"24,90,000",56,Doctor,Hyderabad,Silver,9
329,Female,67,"55,61,000",92,Teacher,Kolkata,Silver,8
330,Female,45,"37,35,000",93,Teacher,Pune,Silver,7
331,Male,37,"30,71,000",21,Lawyer,Mumbai,Platinum,10
332,Male,45,"37,35,000",47,Artist,Chennai,Gold,7
333,Female,25,"20,75,000",80,Artist,Hyderabad,Silver,5
334,Male,58,"48,14,000",59,Doctor,Mumbai,Platinum,5
335,Female,56,"46,48,000",84,Doctor,Hyderabad,Silver,5
336,Female,18,"14,94,000",6,Artist,Hyderabad,Silver,1
337,Male,20,"16,60,000",19,Engineer,Mumbai,Silver,8
338,Male,30,"24,90,000",57,Teacher,Bangalore,Gold,1
339,Female,45,"37,35,000",69,Student,Delhi,Platinum,4
340,Female,66,"54,78,000",3,Doctor,Pune,Silver,9
341,Male,42,"34,86,000",1,Lawyer,Hyderabad,Platinum,9
342,Female,50,"41,50,000",58,Lawyer,Pune,Silver,5
343,Male,55,"45,65,000",38,Doctor,Chennai,Platinum,4
344,Female,23,"19,09,000",15,Artist,Mumbai,Gold,3
345,Male,61,"50,63,000",34,Manager,Pune,Gold,3
346,Male,62,"51,46,000",61,Student,Mumbai,Silver,5
347,Male,49,"40,67,000",35,Student,Pune,Platinum,10
348,Female,62,"51,46,000",64,Doctor,Delhi,Gold,1
349,Female,64,"53,12,000",25,Engineer,Delhi,Silver,5
350,Male,38,"31,54,000",24,Manager,Delhi,Gold,6
351,Female,33,"27,39,000",12,Student,Delhi,Silver,7
352,Male,38,"31,54,000",18,Doctor,Delhi,Platinum,9
353,Male,28,"23,24,000",15,Lawyer,Delhi,Silver,3
354,Female,54,"44,82,000",80,Student,Mumbai,Gold,2
355,Female,53,"43,99,000",27,Entrepreneur,Hyderabad,Gold,3
356,Male,52,"43,16,000",72,Manager,Pune,Silver,9
357,Female,36,"29,88,000",60,Manager,Delhi,Silver,7
358,Female,37,"30,71,000",46,Entrepreneur,Mumbai,Silver,9
359,Male,35,"29,05,000",89,Teacher,Mumbai,Silver,2
360,Male,64,"53,12,000",17,Lawyer,Mumbai,Silver,5
361,Female,58,"48,14,000",93,Entrepreneur,Hyderabad,Gold,4
362,Male,66,"54,78,000",53,Artist,Pune,Silver,2
363,Male,31,"25,73,000",8,Artist,Hyderabad,Silver,9
364,Female,32,"26,56,000",79,Doctor,Bangalore,Gold,9
365,Male,48,"39,84,000",27,Manager,Kolkata,Silver,6
366,Male,18,"14,94,000",46,Teacher,Mumbai,Platinum,6
367,Female,20,"16,60,000",50,Teacher,Bangalore,Platinum,8
368,Female,33,"27,39,000",71,Student,Chennai,Gold,6
369,Male,40,"33,20,000",3,Student,Delhi,Gold,1
370,Male,28,"23,24,000",93,Entrepreneur,Kolkata,Platinum,4
371,Female,29,"24,07,000",64,Teacher,Delhi,Silver,7
372,Female,27,"22,41,000",44,Entrepreneur,Hyderabad,Silver,2
373,Female,49,"40,67,000",53,Lawyer,Kolkata,Silver,9
374,Female,33,"27,39,000",24,Entrepreneur,Pune,Gold,8
375,Male,25,"20,75,000",60,Student,Bangalore,Silver,8
376,Female,55,"45,65,000",3,Manager,Pune,Gold,7
377,Female,29,"24,07,000",20,Entrepreneur,Hyderabad,Platinum,4
378,Male,41,"34,03,000",46,Engineer,Delhi,Platinum,2
379,Female,45,"37,35,000",15,Manager,Kolkata,Gold,3
380,Male,25,"20,75,000",25,Teacher,Pune,Silver,6
381,Female,45,"37,35,000",94,Teacher,Pune,Gold,5
382,Female,53,"43,99,000",78,Entrepreneur,Delhi,Gold,8
383,Female,43,"35,69,000",71,Manager,Kolkata,Silver,6
384,Male,25,"20,75,000",17,Student,Bangalore,Silver,6
385,Male,67,"55,61,000",84,Student,Delhi,Platinum,1
386,Female,45,"37,35,000",100,Artist,Pune,Gold,4
387,Male,45,"37,35,000",9,Teacher,Bangalore,Gold,5
388,Male,54,"44,82,000",38,Doctor,Bangalore,Platinum,3
389,Male,58,"48,14,000",48,Artist,Delhi,Gold,9
390,Male,53,"43,99,000",60,Student,Pune,Gold,1
391,Male,44,"36,52,000",63,Manager,Hyderabad,Silver,6
392,Male,34,"28,22,000",86,Lawyer,Pune,Silver,6
393,Female,26,"21,58,000",2,Student,Mumbai,Silver,10
394,Female,50,"41,50,000",88,Manager,Kolkata,Gold,5
395,Male,37,"30,71,000",72,Artist,Chennai,Gold,5
396,Female,30,"24,90,000",11,Teacher,Hyderabad,Platinum,10
397,Female,45,"37,35,000",64,Student,Bangalore,Silver,5
398,Female,65,"53,95,000",77,Entrepreneur,Hyderabad,Gold,6
399,Female,46,"38,18,000",81,Manager,Kolkata,Gold,8
400,Male,30,"24,90,000",72,Teacher,Bangalore,Gold,2
401,Female,63,"52,29,000",21,Lawyer,Kolkata,Gold,6
402,Female,52,"43,16,000",18,Lawyer,Bangalore,Silver,1
403,Male,23,"19,09,000",94,Doctor,Hyderabad,Gold,4
404,Male,35,"29,05,000",64,Manager,Bangalore,Silver,10
405,Female,68,"56,44,000",82,Artist,Bangalore,Silver,3
406,Female,22,"18,26,000",95,Doctor,Mumbai,Silver,9
407,Female,64,"53,12,000",38,Doctor,Pune,Gold,3
408,Female,42,"34,86,000",32,Engineer,Pune,Platinum,6
409,Female,19,"15,77,000",11,Student,Chennai,Gold,1
410,Female,27,"22,41,000",45,Manager,Chennai,Gold,6
411,Male,47,"39,01,000",89,Doctor,Mumbai,Gold,4
412,Female,67,"55,61,000",33,Engineer,Chennai,Gold,8
413,Female,62,"51,46,000",41,Artist,Kolkata,Silver,9
414,Male,22,"18,26,000",8,Teacher,Hyderabad,Silver,4
415,Male,50,"41,50,000",11,Entrepreneur,Delhi,Silver,10
416,Male,18,"14,94,000",86,Entrepreneur,Kolkata,Silver,10
417,Male,35,"29,05,000",51,Manager,Delhi,Silver,6
418,Female,49,"40,67,000",88,Doctor,Delhi,Silver,1
419,Female,64,"53,12,000",41,Entrepreneur,Mumbai,Silver,4
420,Female,66,"54,78,000",17,Student,Kolkata,Platinum,7
421,Female,28,"23,24,000",76,Entrepreneur,Mumbai,Silver,1
422,Female,38,"31,54,000",46,Entrepreneur,Bangalore,Silver,8
423,Female,43,"35,69,000",32,Entrepreneur,Delhi,Silver,10
424,Male,42,"34,86,000",79,Lawyer,Hyderabad,Gold,6
425,Female,39,"32,37,000",,Engineer,Chennai,Silver,5
426,Male,44,"36,52,000",54,Doctor,Hyderabad,Silver,10
